"Time","signing","verifying"
2025-09-10 21:21:00,409 ms,173 ms
2025-09-10 21:21:05,409 ms,173 ms
2025-09-10 21:21:10,408 ms,173 ms
2025-09-10 21:21:15,408 ms,173 ms
2025-09-10 21:21:20,409 ms,173 ms
2025-09-10 21:21:25,409 ms,173 ms
2025-09-10 21:21:30,409 ms,173 ms
2025-09-10 21:21:35,409 ms,173 ms
2025-09-10 21:21:40,409 ms,173 ms
2025-09-10 21:21:45,409 ms,173 ms
2025-09-10 21:21:50,410 ms,173 ms
2025-09-10 21:21:55,410 ms,173 ms
2025-09-10 21:22:00,411 ms,173 ms
2025-09-10 21:22:05,411 ms,173 ms
2025-09-10 21:22:10,412 ms,174 ms
2025-09-10 21:22:15,412 ms,174 ms
2025-09-10 21:22:20,412 ms,174 ms
2025-09-10 21:22:25,412 ms,174 ms
2025-09-10 21:22:30,411 ms,174 ms
2025-09-10 21:22:35,411 ms,174 ms
2025-09-10 21:22:40,412 ms,174 ms
2025-09-10 21:22:45,412 ms,174 ms
2025-09-10 21:22:50,412 ms,174 ms
2025-09-10 21:22:55,412 ms,174 ms
2025-09-10 21:23:00,412 ms,174 ms
2025-09-10 21:23:05,412 ms,174 ms
2025-09-10 21:23:10,412 ms,174 ms
2025-09-10 21:23:15,412 ms,174 ms
2025-09-10 21:23:20,412 ms,175 ms
2025-09-10 21:23:25,412 ms,175 ms
2025-09-10 21:23:30,412 ms,175 ms
2025-09-10 21:23:35,412 ms,175 ms
2025-09-10 21:23:40,413 ms,175 ms
2025-09-10 21:23:45,413 ms,175 ms
2025-09-10 21:23:50,413 ms,175 ms
2025-09-10 21:23:55,413 ms,175 ms
2025-09-10 21:24:00,413 ms,175 ms
2025-09-10 21:24:05,413 ms,175 ms
2025-09-10 21:24:10,413 ms,175 ms